,X235046_at
164,4.96666816745227
165,5.47093091251812
166,5.71173166324261
167,5.33122482090675
168,5.52665519330458
169,6.05644341134003
170,5.95813462481812
171,5.5800207064214
172,5.49632841507783
173,5.71872703960201
174,7.79955447841763
175,4.75728562738221
176,5.77236801910648
177,5.13113072188347
178,5.3473916177759
179,8.37555369087701
180,6.68755141534938
181,5.38655632087275
182,5.89464001423416
183,5.57515325144943
184,4.80732472407041
185,5.11413985941551
186,5.20374442656394
187,6.18767152079082
188,4.92253998309276
189,8.25330130429773
190,5.23847495092317
191,4.99207347016816
192,5.43351824826045
193,7.37734950697332
194,5.47787252495528
195,6.32191705444
196,4.90616637340891
197,8.21442614233007
198,6.15032414099212
199,7.61629212265001
200,6.0746543169478
201,5.5701510853846
202,4.96488012206879
203,5.41687585659564
204,6.1327478693072
205,5.55424462246381
206,8.04027824623524
207,5.66520133046991
208,5.90125447023488
209,7.3965706508209
210,5.82329461058517
211,5.84465909441917
212,6.96581188665603
213,7.75406711007552
214,5.6342700599559
215,5.70500342662442
216,5.65087290184345
217,5.28060761626079
218,7.53419253022658
219,4.89383339977111
220,7.01909879776507
221,8.4087763895246
222,5.3070148918804
223,5.27362225863641
224,7.03650992077784
225,7.1682045385909
226,4.92314032236516
227,5.26521782988236
228,5.18069713847937
229,7.15636094792954
230,5.04749514008564
231,5.34837816856781
232,9.81189347891979
233,5.05950923471176
234,4.92122002134973
235,5.07749828194061
236,6.50220988207644
237,5.24123776779419
238,5.21954711175051
239,7.42190966137023
240,6.63570506022275
241,7.497283286913
242,7.37370695381664
243,7.12000461703697
244,5.58078921141303
245,6.93127938596772
246,6.30765189394824
247,6.1453471129678
248,5.35195674157424
249,5.47229077557711
250,6.13060156179341
251,5.38209427450251
252,9.24474123742629
253,5.6147170964525
254,6.83573993239449
255,5.52083305620896
256,5.58662038514756
257,5.44883656465176
258,5.16148215784626
259,5.72719710486012
260,5.64994503314516
261,6.14488697314924
262,5.35378327624436
263,8.48912258552713
264,7.37350511585235
265,4.83338798813016
266,5.78450751421622
267,5.27989211722683
268,6.86709913052514
269,5.79907513157299
270,9.31027670263637
271,5.75930600327261
272,5.70461915781616
273,5.76734449513239
274,6.54596305800768
275,5.69700483223752
