sample,X202887_s_at
GSM159144.CEL.gz,0.227843286654339
GSM159146.CEL.gz,0.244722003473148
GSM159152.CEL.gz,0.180595288519499
GSM159155.CEL.gz,0.249095069251574
GSM159160.CEL.gz,0.170254121086774
GSM159161.CEL.gz,0.280974229418427
GSM159162.CEL.gz,0.19011647425812
GSM159163.CEL.gz,0.221401571906974
GSM159169.CEL.gz,0.234498844083342
GSM158712.CEL.gz,0.195594538758661
GSM158714.CEL.gz,0.18934280391109
GSM158716.CEL.gz,0.218351655342498
GSM158719.CEL.gz,0.181065013160749
GSM158721.CEL.gz,0.225746452662139
GSM158722.CEL.gz,0.242772791245033
GSM158725.CEL.gz,0.222559802482451
GSM158728.CEL.gz,0.187226269352827
GSM158742.CEL.gz,0.167968098122062
GSM158750.CEL.gz,0.199619055976883
GSM158752.CEL.gz,0.217831876019079
GSM158756.CEL.gz,0.211159791942663
GSM158773.CEL.gz,0.194603308878074
GSM158775.CEL.gz,0.176191075986614
GSM158781.CEL.gz,0.207748024876623
GSM158782.CEL.gz,0.223437177223194
GSM158791.CEL.gz,0.192955183560913
GSM158799.CEL.gz,0.22618214005912
GSM158803.CEL.gz,0.211124600283588
GSM158810.CEL.gz,0.185469328151529
GSM158811.CEL.gz,0.19378501422412
GSM158812.CEL.gz,0.259709628409253
GSM158813.CEL.gz,0.211218819237501
GSM158814.CEL.gz,0.201958549182088
GSM158820.CEL.gz,0.175762041345599
GSM158830.CEL.gz,0.192166841891272
GSM158833.CEL.gz,0.193785028853525
GSM158839.CEL.gz,0.174535597842582
GSM158841.CEL.gz,0.221074451595085
GSM158849.CEL.gz,0.199348386345046
GSM158851.CEL.gz,0.214074465345867
GSM158853.CEL.gz,0.225629834291079
GSM158859.CEL.gz,0.251697780043737
GSM158860.CEL.gz,0.213997177417833
GSM158861.CEL.gz,0.194624435222565
GSM158863.CEL.gz,0.251504291287833
GSM158873.CEL.gz,0.174140853970104
GSM158877.CEL.gz,0.18102736896727
GSM158878.CEL.gz,0.167516717106777
GSM158885.CEL.gz,0.175318713536126
GSM158888.CEL.gz,0.198795729563119
GSM158890.CEL.gz,0.190525987212387
GSM158899.CEL.gz,0.181685450669104
GSM158900.CEL.gz,0.196399391170468
GSM158904.CEL.gz,0.172577313879031
GSM158905.CEL.gz,0.246023221570322
GSM158906.CEL.gz,0.254835807133181
GSM158911.CEL.gz,0.226446305790972
GSM158912.CEL.gz,0.181542849654221
GSM158914.CEL.gz,0.181905784312932
GSM158918.CEL.gz,0.162907621246275
GSM158919.CEL.gz,0.19276844952828
GSM158920.CEL.gz,0.177562517600285
GSM158921.CEL.gz,0.203569136102806
GSM158922.CEL.gz,0.170825690222365
GSM158923.CEL.gz,0.174633344536176
GSM158925.CEL.gz,0.228127059843648
GSM158927.CEL.gz,0.199588567471875
GSM158931.CEL.gz,0.174357327417394
GSM158945.CEL.gz,0.187328940895251
GSM158959.CEL.gz,0.180975468239468
GSM158966.CEL.gz,0.19776805465375
GSM158969.CEL.gz,0.169502761260459
GSM158970.CEL.gz,0.212989799786612
GSM158975.CEL.gz,0.166166910768354
GSM158980.CEL.gz,0.191309105103835
GSM158982.CEL.gz,0.18522132074508
