,X213241_at
101,7.83339634057487
102,6.77595192288759
103,6.00696847511267
104,6.18276498924159
105,7.29882693535346
106,7.80668892977902
107,6.35371418285712
108,6.59990241270333
109,6.71537963452336
110,6.17319717393451
111,8.17771419713613
112,8.398307625523
113,7.89866930987568
114,7.23815936577019
115,6.96788462431025
116,7.75129576837625
117,8.14860362760525
118,5.98760066641137
119,7.28376000779674
120,8.3944664170986
121,6.78016276746943
122,7.23768177911693
123,6.51179548483017
124,7.28213259788943
125,8.06926081417748
126,7.7899947007039
127,5.90495025721023
128,6.50832051816768
129,5.48333345931145
130,7.53291711547828
131,7.91647705635853
132,8.95633834905539
133,5.25644088107953
134,6.84399478250953
135,6.38085624985805
136,6.65827187762225
137,6.42564759816154
138,7.72803325042137
139,7.41674401341305
140,5.76121164212525
141,6.85572735154256
142,7.07604850189505
143,10.7211640530899
144,8.55289735552159
145,6.48609085126888
146,7.74188060488723
147,6.02729672398778
148,5.94257790573109
149,7.39913795666646
150,6.3100769514617
151,6.2204426866972
152,8.76283119510577
153,8.46545316372335
154,5.71086799912943
155,7.99687777695383
156,8.2444624922445
157,7.02968800494021
158,6.41968261209942
159,6.48546476946629
160,8.18567144344522
161,6.14455110360119
162,6.69144133087861
163,6.65106190800365
164,5.51478768954047
165,5.92055877674742
166,10.0556432387914
167,5.82577323632972
168,6.54466818717187
169,6.80602890663946
170,6.11212364723721
171,8.30021979596863
172,10.681441175719
173,6.45655374488366
174,6.61644026468159
175,8.99902653085884
176,6.01940440903004
177,6.41152444320544
178,6.41144188226993
179,7.84196466295955
180,7.809950251479
181,8.09824091446325
182,7.16888477486566
183,7.73471481228936
184,8.43966653583114
185,8.18139929988765
186,6.78664656605053
187,6.97852387431109
188,6.80071651066421
189,9.9690139119059
190,5.51748071231969
191,9.25952491654754
192,7.64867435624523
193,9.85012510780541
194,7.72332827897488
195,9.12472226069547
196,8.90860886142747
197,9.02454979236474
198,9.24606501241495
199,8.35916188171288
200,8.6729354801324
201,9.4291076076687
202,8.10359655984227
203,9.76555585667281
204,9.90610448773199
205,9.21687742850034
206,9.58634281064142
207,8.99583620434603
208,9.01889633622338
209,10.4954201400006
210,10.1314216864621
211,9.30077207534434
212,9.18995083303777
213,8.99852636913681
214,6.8751272392315
215,10.5180463551884
216,7.52039276751384
217,7.69117352227286
218,10.1444048681326
219,8.19910528168012
220,9.56635017627751
221,10.2565524510818
222,10.0199994002013
223,11.0415474788809
224,9.90796370199923
225,10.2352726953838
226,8.31798866642066
227,8.57201120707636
228,9.10402102047564
229,10.21212407242
230,8.11402899188134
231,9.84837510234688
232,11.1272013982568
233,9.219716333524
234,5.78314301600646
235,10.8354850943888
236,11.0663847294248
237,8.90759917677451
238,10.5736066800856
239,8.94713976208963
240,7.33638445534014
241,10.1999886837075
242,9.93494334225378
243,9.21255633937601
244,8.52041833227213
245,9.59324603262936
246,8.9797617499048
247,9.04132700567215
248,8.08136731575584
249,8.10953474588913
250,8.69865435777618
251,7.56318779299458
252,10.3160560624159
253,9.3947070796877
254,8.95944857609916
255,8.48859496670809
256,9.1893488469825
257,9.61591470654386
258,9.22427446166515
259,9.78842018508501
260,7.65994422955056
261,8.03168289263422
262,10.8956702229735
263,9.68346726538489
264,8.12630142821926
265,8.83047488324696
266,9.04428389732199
267,9.01718685011925
268,8.70808385438307
269,7.29131133259773
270,8.87370248512582
271,10.4273623863836
272,9.55001481445944
